agent_id,episode_id,training_step,success,end_reason,episode_reward,episode_length,time_to_goal,start_goal_zone_error_xz,final_goal_zone_error_xz,normalized_task_progress,start_block_goal_distance,final_block_goal_distance,normalized_block_progress,success_goal_consistency,final_goal_error,final_center_distance_xz,final_center_distance_xyz,start_block_x,start_block_y,start_block_z,end_block_x,end_block_y,end_block_z,goal_x,goal_y,goal_z
Agent,82,410000,0,timeout,-0.9999,5000,-1,7.5499,5.4275,0.2811,11.7701,11.1208,0.0552,1.0000,11.12076,11.1134,11.1208,-5.9978,1.0000,-0.4253,-7.7633,0.3750,-2.5477,0.0000,-0.0300,-10.5000
Agent,83,415000,0,timeout,-0.9999,5000,-1,5.9028,5.9028,0.0000,9.4774,9.4300,0.0050,1.0000,9.430013,9.4213,9.4300,-4.2115,1.0000,2.0724,-4.2115,0.3750,2.0724,0.0000,-0.0300,10.5000
Agent,84,420000,0,timeout,-0.9999,5000,-1,8.6063,11.3061,-0.3137,11.2526,13.8435,-0.2302,1.0000,13.84345,13.8375,13.8435,-1.2884,1.0000,-0.6311,-0.4287,0.3750,-3.3309,0.0000,-0.0300,10.5000
Agent,85,425000,0,timeout,-0.9999,5000,-1,3.1661,3.1661,0.0000,7.0013,6.9370,0.0092,1.0000,6.936989,6.9252,6.9370,-4.8091,1.0000,-3.9460,-4.8091,0.3750,-3.9460,-10.5000,-0.0300,0.0000
Agent,86,430000,0,timeout,-0.9999,5000,-1,9.5231,9.5231,0.0000,13.1292,13.0950,0.0026,1.0000,13.09495,13.0887,13.0950,5.1149,1.0000,1.5479,5.1149,0.3750,1.5479,0.0000,-0.0300,-10.5000
Agent,87,435000,0,timeout,-0.9999,5000,-1,9.5264,9.0801,0.0469,12.9924,12.6204,0.0286,1.0000,12.62039,12.6139,12.6204,1.5512,1.0000,4.7444,1.1049,0.3750,4.9435,-10.5000,-0.0300,0.0000
Agent,88,440000,0,timeout,-0.9999,5000,-1,10.3475,10.5226,-0.0169,14.2815,14.5019,-0.0154,1.0000,14.50185,14.4962,14.5019,-2.3723,1.0000,6.0996,-2.5474,0.3750,6.3170,10.5000,-0.0300,0.0000
Agent,89,445000,0,timeout,-0.9999,5000,-1,10.3884,10.3884,0.0000,13.0226,12.9881,0.0026,1.0000,12.9881,12.9818,12.9881,-1.3327,1.0000,2.4132,-1.3327,0.3750,2.4132,0.0000,-0.0300,-10.5000
Agent,90,450000,0,timeout,-0.9999,5000,-1,7.7649,7.7649,0.0000,10.5498,10.5072,0.0040,1.0000,10.50724,10.4994,10.5072,-0.2103,1.0000,-2.0881,-0.2103,0.3750,-2.0881,-10.5000,-0.0300,0.0000
Agent,91,455000,0,timeout,-0.9999,5000,-1,4.6836,0.6031,0.8712,7.6972,6.9484,0.0973,1.0000,6.94842,6.9366,6.9484,-3.2916,1.0000,2.4952,-7.3721,0.3750,6.1914,-10.5000,-0.0300,0.0000
